experiment_name,model_id,accuracy,mcc,f1,precision,recall,carbon_emissions,energy_consumed
EuroSAT,convnext,0.9511,0.9456,0.9511,0.9513,0.9511,0.0261,0.1273
EuroSAT,swinv2,0.9857,0.9841,0.9857,0.9858,0.9857,0.0086,0.042
EuroSAT,vit,0.9848,0.9831,0.9848,0.9849,0.9848,0.0026,0.0129
EuroSAT,deit,0.9804,0.9782,0.9804,0.9805,0.9804,0.0022,0.0105
Kenya_Roads,convnext,0.893,0.163,0.943,0.9919,0.8987,0.0024,0.0115
Kenya_Roads,swinv2,0.8489,0.2129,0.9172,0.9963,0.8497,0.0008,0.0039
Kenya_Roads,vit,0.7976,0.2049,0.8857,0.998,0.7961,0.0002,0.0012
Kenya_Roads,deit,0.8288,0.1812,0.9052,0.9953,0.8301,0.0002,0.0011
PublicHarvestNet,convnext,0.784,0.5632,0.7506,0.7909,0.7143,0.0175,0.0851
PublicHarvestNet,swinv2,0.8324,0.6613,0.8108,0.8339,0.7889,0.0059,0.0287
PublicHarvestNet,vit,0.8107,0.6194,0.795,0.784,0.8063,0.0019,0.0091
PublicHarvestNet,deit,0.8027,0.6059,0.7908,0.7644,0.819,0.0016,0.008
